Extban / IRCd,inspircd,p10/nefarious,ts6/charybdis,unreal
ban_account,R:,~a:,$a:,~a:
ban_account_legacy,,,,~R:
ban_all_opers,,,$o,
ban_all_registered,,,$a,
ban_all_ssl,,,$z,
ban_banshare,,~j:,$j:,
ban_blockcaps,B:,,,
ban_blockcolor,c:,,,
ban_certfp,z:,,,~S:
ban_extgecos,,,$x:,
ban_inchannel,j:,~c:,$c:,~c:
ban_invites,A:,,,
ban_mark,,~m:,,
ban_noctcp,C:,,,
ban_nojoins,,,,~j:
ban_nokicks,Q:,,,
ban_nonick,N:,~n:,,~n:
ban_nonotice,T:,,,~m:notice: (+e only)
ban_not_account,,,$~a:,
ban_not_banshare,,,$~j:,
ban_not_extgecos,,,$~x:,
ban_not_inchannel,,,$~c:,
ban_not_opers,,,$~o,
ban_not_realname,,,$~r:,
ban_not_server,,,$~s:,
ban_not_ssl,,,$~z,
ban_opertype,O:,,,~O:
ban_partmsgs,p:,,,
ban_realname,r:,~r:,$r:,~r:
ban_server,s:,,$s:,
ban_stripcolor,S:,,,~m:color: (+e only)
ban_unregistered,,,$~a,
ban_unregistered_mark,,~M:,,
ban_unregistered_matching,U:,,,
msgbypass_external,,,,~m:external:
msgbypass_censor,,,,~m:censor:
msgbypass_moderated,,,,~m:moderated:
quiet,m:,~q:,(via cmode +q),~q:
timedban_unreal,,,,~t:
